main,gyear,count_us,count_for,totpool_pre_14,totpool_pre_58,totpool_pre_9p,totpool_ind14,totpool_ind58,totpool_ind9p,totpool_ind912,totpool_ind1316,totpool_ind17p,totpool_ind1720,totpool_ind2124,totpool_ind25p,totpool_pre_ind14,totpool_pre_ind58,totpool_pre_ind9p,totpool_ind15,totpool_ind610,totpool_ind1115,totpool_ind16p,totpat_2070,totpat_2032,dispat_ger_2070,dispat_ger_2032,dispat_aus_2070,dispat_aus_2032,uspat_ger_2070,uspat_ger_2032,uspat_aus_2070,uspat_aus_2032,class_age,class_age2,pre1933_germanclass,treat_us,treat_int_us,treat_dis,treat_int_dis,treat_us_pre33,treat_int_us_pre33,treat_dis_pre33,treat_int_dis_pre33,treat_pre33,count_us_Wcit,count_for_Wcit
015,1920,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,83,6889,1,0,0,0,0,0,0,0,0,0,492,0
015,1921,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,84,7056,1,0,0,0,0,0,0,0,0,0,519,0
015,1922,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,85,7225,1,0,0,0,0,0,0,0,0,0,694,0
015,1923,545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,86,7396,1,0,0,0,0,0,0,0,0,0,639,0
015,1924,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,87,7569,1,0,0,0,0,0,0,0,0,0,805,0
015,1925,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,88,7744,1,0,0,0,0,0,0,0,0,0,851,0
015,1926,641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,89,7921,1,0,0,0,0,0,0,0,0,0,820,2
015,1927,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,90,8100,1,0,0,0,0,0,0,0,0,0,811,0
015,1928,703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,91,8281,1,0,0,0,0,0,0,0,0,0,975,0
015,1929,590,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,92,8464,1,0,0,0,0,0,0,0,0,0,821,5
015,1930,574,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,93,8649,1,0,0,0,0,0,0,0,0,0,944,2
015,1931,649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,94,8836,1,0,0,0,0,0,0,0,0,0,1018,2
015,1932,672,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95,9025,1,0,0,0,0,0,0,0,0,0,1116,1
015,1933,752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,96,9216,1,0,0,0,0,0,0,0,0,1,1441,0
015,1934,575,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,97,9409,1,0,0,0,0,0,0,0,0,1,1168,4
015,1935,551,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,98,9604,1,0,0,0,0,0,0,0,0,1,1261,0
015,1936,570,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,99,9801,1,0,0,0,0,0,0,0,0,1,1282,0
015,1937,517,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,100,10000,1,0,0,0,0,0,0,0,0,1,1438,0
015,1938,509,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,101,10201,1,0,0,0,0,0,0,0,0,1,2107,0
015,1939,636,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,102,10404,1,0,0,0,0,0,0,0,0,1,1821,0
015,1940,614,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,103,10609,1,0,0,0,0,0,0,0,0,1,1927,0
015,1941,763,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,104,10816,1,0,0,0,0,0,0,0,0,1,2015,0
